,ID,CT_CS,CT_Temp,CT_RT,log_CT_CS,LMP,LMP_Model,Prediction,diff
135,9Cr-026,270.0,500.0,62475.0,5.598421958998375,19.50795855714204,19.834577223066418,32509.395662807045,29965.604337192955
136,9Cr-026,240.0,550.0,667.3,5.480638923341991,19.91958252391344,19.321429825686586,1979.877157945022,-1312.577157945022
137,9Cr-026,220.0,550.0,3724.3,5.393627546352362,20.223666791661486,20.267096786266652,3441.5270685303217,282.7729314696785
138,9Cr-026,200.0,550.0,14530.0,5.298317366548036,20.556753420530573,21.01583189584671,6306.162567754173,8223.837432245826
139,9Cr-026,180.0,550.0,40320.2,5.19295685089021,20.924963605931787,21.577182304414052,12317.24613368925,28002.953866310745
140,9Cr-026,170.0,550.0,61209.2,5.135798437050262,21.124718799097295,21.806777010936255,17711.101835638838,43498.09816436116
141,9Cr-026,160.0,550.0,81031.1,5.075173815233827,21.33658757270319,21.961071550556255,26034.11041763912,54996.98958236088
142,9Cr-026,200.0,575.0,1072.0,5.298317366548036,20.556753420530573,20.472250568434752,1241.7076192357863,-169.7076192357863
143,9Cr-026,180.0,575.0,3323.8,5.19295685089021,20.924963605931787,21.122910588770793,2355.7357154298697,968.0642845701304
144,9Cr-026,160.0,575.0,12565.4,5.075173815233827,21.33658757270319,21.88756761025785,4819.744183448433,7745.655816551566
145,9Cr-026,150.0,575.0,18439.8,5.0106352940962555,21.562134502548915,22.10811712135932,7134.744085827066,11305.055914172934
146,9Cr-026,140.0,575.0,27705.6,4.941642422609304,21.803248337679292,22.342212953736443,10851.515978744028,16854.08402125597
147,9Cr-026,130.0,575.0,42021.1,4.867534450455582,22.06223824481917,22.581721909435498,17025.666874520914,24995.433125479085
148,9Cr-026,120.0,575.0,60817.5,4.787491742782046,22.341968654721533,22.794302688901993,27693.8312814913,33123.6687185087
149,9Cr-026,200.0,600.0,40.4,5.298317366548036,20.556753420530573,19.395277485238072,279.95335792512,-239.55335792511997
150,9Cr-026,160.0,600.0,971.2,5.075173815233827,21.33658757270319,21.303099066440954,1026.9480222577545,-55.74802225775443
151,9Cr-026,140.0,600.0,3414.7,4.941642422609304,21.803248337679292,22.057486566507084,2235.2638170625814,1179.4361829374184
152,9Cr-026,120.0,600.0,12858.6,4.787491742782046,22.341968654721533,22.85304049055902,5486.148467480047,7372.451532519954
153,9Cr-026,110.0,600.0,21206.3,4.700480365792417,22.64605292246958,23.153211766052948,9106.910928983076,12099.389071016923
154,9Cr-026,100.0,600.0,34141.0,4.605170185988092,22.979139551338662,23.438932186501926,15865.991981422985,18275.008018577013
155,9Cr-026,80.0,600.0,69207.4,4.382026634673881,23.75897370351128,23.862897457640607,58200.94178272974,11006.458217270258
156,9Cr-026,70.0,600.0,80736.8,4.248495242049359,24.22563446848738,23.95534947039604,126680.66588208401,-45943.86588208401
157,9Cr-026,70.0,600.0,87364.7,4.248495242049359,24.22563446848738,24.002687568196517,126680.66588208401,-39315.96588208401
158,9Cr-026,140.0,625.0,263.3,4.941642422609304,21.803248337679292,21.37495422308247,522.4684764454959,-259.16847644549586
159,9Cr-026,120.0,625.0,1040.8,4.787491742782046,22.341968654721533,22.23398601101749,1237.0900379904838,-196.29003799048382
160,9Cr-026,100.0,625.0,6090.5,4.605170185988092,22.979139551338662,23.338198843481063,3428.885607893815,2661.614392106185
161,9Cr-026,90.0,625.0,13923.2,4.499809670330265,23.34734973673988,23.85496530184753,6180.329637027704,7742.870362972297
162,9Cr-026,80.0,625.0,24077.5,4.382026634673881,23.75897370351128,24.19729110241544,11940.905662352743,12136.594337647257
163,9Cr-026,70.0,625.0,31703.7,4.248495242049359,24.22563446848738,24.369263351704248,25194.53687065901,6509.163129340992
164,9Cr-026,60.0,625.0,49086.3,4.0943445622221,24.764354785529626,24.642479964296907,59655.102613119794,-10568.802613119791
165,9Cr-026,110.0,650.0,237.6,4.700480365792417,22.64605292246958,22.16319383064682,499.42065107072557,-261.8206510707256
166,9Cr-026,110.0,650.0,248.5,4.700480365792417,22.64605292246958,22.19234909837814,499.42065107072557,-250.92065107072557
167,9Cr-026,100.0,650.0,727.8,4.605170185988092,22.979139551338662,22.890828334145038,833.7133983574715,-105.91339835747158
168,9Cr-026,80.0,650.0,5409.5,4.382026634673881,23.75897370351128,24.194654013762257,2767.3197894743844,2642.1802105256156
169,9Cr-026,70.0,650.0,13008.5,4.248495242049359,24.22563446848738,24.76499412358591,5673.572019498683,7334.927980501317
170,9Cr-026,60.0,650.0,24807.4,4.0943445622221,24.764354785529626,25.184594477361124,12995.711168858774,11811.688831141228
171,9Cr-026,50.0,650.0,41425.2,3.912023005428146,25.401525682146755,25.517880284464887,34635.60886577131,6789.591134228685
172,9Cr-026,80.0,675.0,419.4,4.382026634673881,23.75897370351128,23.39918402100582,714.688562105507,-295.288562105507
173,9Cr-026,70.0,675.0,1251.9,4.248495242049359,24.22563446848738,24.137358997519332,1426.8095571509018,-174.90955715090172
174,9Cr-026,60.0,675.0,3045.2,4.0943445622221,24.764354785529626,24.737369321156677,3169.4087179571306,-124.20871795713083
175,9Cr-026,50.0,675.0,10081.8,3.912023005428146,25.401525682146755,25.54545585659061,8145.795707713231,1936.0042922867678
176,9Cr-026,40.0,675.0,32018.6,3.6888794541139363,26.181359834319373,26.325475843512063,25862.958858193775,6155.6411418062235
177,9Cr-026,60.0,700.0,447.5,4.0943445622221,24.764354785529626,24.31121645970122,854.9277848313448,-407.42778483134475
178,9Cr-026,60.0,700.0,364.6,4.0943445622221,24.764354785529626,24.16780348687198,854.9277848313448,-490.32778483134473
