,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,V,B,N,O,S,Zr,Homo,Weighted_AN,log_CT_CS
9Cr-026_26,2.1969645194838896,0.0,0.0,0.0,2.0127461196856,0.0,0.0,-7.122160259899281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2482279930761626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.441908833436433
9Cr-074_8,2.1969645194838896,0.0,0.0,0.0,0.0,0.0,0.0,-6.795491414442815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2482279930761626,0.0,0.0,0.0,0.0,0.0,0.0,-0.005186095915109176,-26.59740043376338
9Cr-072_16,2.797887855825511,0.0,0.0,0.0,0.0,0.0,0.0,-3.1117338439285263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36400009711364656,0.0,0.0,0.0,0.0,0.0,0.0,-0.005186095915109176,-23.18386906884618
9Cr-079_6,-0.8076169424547326,0.0,0.0,0.0,1.2041693755412515,0.0,0.0,-1.9996927208669866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.542724158698549,-17.649944557799667
9Cr-030_29,-2.219818744357264,0.0,0.0,0.0,1.2041693755412515,0.0,0.0,-1.9996927208669866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5180097041943705,7.719473415853905
9Cr-073_8,-2.219818744357264,0.0,0.0,0.0,1.2041693755412515,0.0,0.0,-1.9996927208669866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5180097041943705,7.719473415853905
9Cr-062_23,-0.43915558993383946,0.0,0.0,0.0,1.2041693755407439,0.0,0.0,-13.075362777325193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2282189428924132,0.0,0.0,0.0,0.0,0.0,0.0,5.531100271707523,-24.115379969215493
9Cr-070_16,-2.219818744357264,0.0,0.0,0.0,1.2041693755412515,0.0,0.0,-1.9996927208669866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5180097041943705,7.719473415853905
9Cr-025_20,0.7032094540612616,0.0,0.0,0.0,4.812401344629987,0.0,0.0,-13.701395094231243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2282189428924132,0.0,0.0,0.0,0.0,0.0,0.0,3.6048224623779253,15.455429164957767
9Cr-026_10,-0.8305126626025829,0.0,0.0,0.0,1.3806725750147628,0.0,0.0,1.7169295918051768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2852551325408144,0.8570554772094277
