ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Homo,Normal,Temper1,Temper2,Temper3,AGS No.,AGS,TT Temp,YS,UTS,Elong,RA,CT Temp,CS,RT,EL,RA_2,MCR,0.1% CS,0.2% CS,0.5% CS,1.0% CS,2.0% CS,5.0% CS,TTC
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,6.5,,,,,,,650,206.843,555,13,74.1,,,,,,,,
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,6.5,,,,,,,650,172.369,1773.5,24.3,79.3,,,,,,,,
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,6.5,,,,,,,650,155.132,2196,14.4,76,,,,,,,,
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,,,,,,,,650,120.658,9974,11.8,57.3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,85.219,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,100,810,948,18.12701,61,,,,,,,,,,,,,
4,85.219,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,150,784,915,21,61,,,,,,,,,,,,,
4,85.219,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,250,762,876,17.48392,66,,,,,,,,,,,,,
4,85.351,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,350,734,829,17,62,,,,,,,,,,,,,
4,85.219,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,400,720,816,16.07717,61,,,,,,,,,,,,,
4,85.351,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,550,554,638,33,69,,,,,,,,,,,,,
4,85.219,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,650,389,459,28.37621,84,,,,,,,,,,,,,
4,85.219,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,,,,,,650,189.606,860,16.5,77.4,,,,,,,,
4,85.351,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,,,,,,650,172.369,1732,27,75.6,,,,,,,,
4,85.351,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,,,,,,650,155.132,2239.3,26.5,79.8,,,,,,,,
4,85.219,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,1,1150,700,,,6.5,,,,,,,650,137.895,5783.6,21.1,72.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,85.351,0.15,9.993,0.421,0.117,0.206,1.505,1.325,0.53,0.049,0.014,0.001,0.003,,0.28,,,0.199,0.0087,0.0221,0.0032,0.0058,1,1150,700,,,7,,200,764,885,21,67,,,,,,,,,,,,,
5,85.351,0.15,9.993,0.421,0.117,0.206,1.505,1.325,0.53,0.049,0.014,0.001,0.003,,0.28,,,0.199,0.0087,0.0221,0.0032,0.0058,1,1150,700,,,7,,400,699,806,18,59,,,,,,,,,,,,,
5,85.351,0.15,9.993,0.421,0.117,0.206,1.505,1.325,0.53,0.049,0.014,0.001,0.003,,0.28,,,0.199,0.0087,0.0221,0.0032,0.0058,1,1150,700,,,7,,600,466,542,39,83,,,,,,,,,,,,,
5,85.351,0.15,9.993,0.421,0.117,0.206,1.505,1.325,0.53,0.049,0.014,0.001,0.003,,0.28,,,0.199,0.0087,0.0221,0.0032,0.0058,1,1150,700,,,7,,,,,,,650,189.606,704,27.7,79.7,,,,,,,,
