ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,V,B,N,S,Homo,Normal,Temper1,AGS No.,CT_Temp,CT_CS,CT_RT,CT_EL,CT_RA,CT_MCR,CT_0.5% CS,CT_1.0% CS,CT_2.0% CS,CT_5.0% CS,CT_TTC,Weighted_AN,Weighted_AW,Weighted_BP,Weighted_DP,Weighted_EH,Weighted_HF,Weighted_MP
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,118,115.8,49,52,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,98,383.2,45,54,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,88,924.2,38,48,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,69,4555.7,35,33,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,53,12081.4,26,23,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,37,26479,33,23,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,314,104.2,14,24,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,265,1929.1,10,18,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,216,7251.8,8,19,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,196,13099.6,8,18,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,176,15304.4,8,14,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,176,20674.2,12,17,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,176,21748.5,13,15,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,157,38751.9,10,12,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,137,81570.6,12,13,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,265,56.6,10,20,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,216,478.9,8,18,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,176,3019.8,15,24,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,137,18488.9,16,34,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,108,48332.8,16,28,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,88,183725.1,15,16,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,176,349.1,12,24,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,137,1953.6,30,43,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,98,7523.2,24,44,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,78,22841.7,14,31,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,61,85670.8,11,11,,,,,,,25.922483999999994,55.63712524931455,3009.5635538400006,64.37522440000001,346.01427900000004,414.97409604,1858.1486524399998
