ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Zr,Homo,Normal,Temper1,Temper2,Temper3,AGS No.,CT_Temp,CT_CS,CT_RT,CT_EL,CT_RA,CT_MCR,CT_0.1% CS,CT_0.15%CS,CT_0.2% CS,CT_0.25% CS,CT_0.5% CS,CT_1.0% CS,CT_2.0% CS,CT_5.0% CS,CT_TTC,Weighted_AN
9Cr-011,82.266,0.15,10.618,0.422,0.099,0.234,4.673,0.539,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,1,1150,700,,,6,650,172.369,649.4,24.8,78.7,,,,,,,,,,,26.186233
9Cr-011,82.266,0.15,10.618,0.422,0.099,0.234,4.673,0.539,0.479,0.054,0.005,0.002,0.043,,0.177,,,0.19,0.0097,0.0296,0.0028,0.0067,,1,1150,700,,,6,650,155.132,432,ND,,,,,,,,,,,,26.186233
9Cr-012,80.655,0.15,10.527,0.452,0.101,0.269,6.158,0.527,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,1,1150,700,,,6.5,650,172.369,392.9,29.5,82.3,,,,,,,,,,,26.251512000000005
9Cr-012,80.655,0.15,10.527,0.452,0.101,0.269,6.158,0.527,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,1,1150,700,,,6.5,650,155.132,312,ND,,,,,,,,,,,,26.251512000000005
9Cr-012,80.655,0.15,10.527,0.452,0.101,0.269,6.158,0.527,0.508,0.055,0.011,0.002,0.037,,0.26,,,0.237,0.0088,0.0328,0.0028,0.0067,,1,1150,700,,,6.5,650,137.895,657,,,,,,,,,,,,,26.251512000000005
9Cr-013,78.611,0.15,10.74,0.443,0.013,0.26,8.226,0.524,0.498,0.053,0.005,0.001,0.037,,0.185,,,0.197,0.0095,0.0379,0.0023,0.0075,,1,1150,700,,,6.5,650,172.369,235,28.6,81.4,,,,,,,,,,,26.238582000000005
9Cr-014,86.877,0.15,9.875,0.413,0.084,0.26,0.012,1.262,0.479,0.056,0.016,0.001,0.002,,0.266,,,0.205,0.0083,0.0244,0.0043,0.005,,1,1150,700,,,6,650,172.369,1310,29.5,85,,,,,,,,,,,26.312936999999998
9Cr-015,83.655,0.15,9.975,0.409,0.057,0.31,2.949,1.267,0.458,0.062,0.013,0.001,0.026,,0.355,,,0.208,0.0075,0.0221,0.072,0.0039,,1,1150,700,,,6,650,172.369,2139.2,30.5,82.3,,,,,,,,,,,26.367715999999998
9Cr-016,85.926,0.15,9.969,0.403,0.054,0.31,0.736,1.269,0.468,0.061,0.013,0.001,0.027,,0.361,,,0.21,0.0075,0.0238,0.0074,0.0036,,1,1150,700,,,6,650,172.369,1854,35.7,84,,,,,,,,,,,26.365169
9Cr-017,85.86,0.15,9.893,0.419,0.088,0.27,1.46,0.502,0.515,0.054,0.011,0.001,0.295,,0.233,,,0.206,0.0113,0.0221,0.005,0.005,,1,1150,700,,,6,650,172.369,832,30.4,81.2,,,,,,,,,,,26.215782000000008
9Cr-018,86.037,0.15,9.866,0.411,0.085,0.27,1.466,0.506,0.511,0.055,0.017,0.001,0.003,,0.274,,0.1,0.205,0.0106,0.0236,0.0027,0.0059,,1,1150,700,,,6.5,650,172.369,722,27.4,74.2,,,,,,,,,,,26.274482000000006
9Cr-019,85.079,0.15,9.847,0.471,0.096,0.27,1.458,1.261,0.484,0.057,0.011,0.001,0.294,,0.28,,,0.208,0.0104,0.0239,0.0032,0.0056,,1,1150,700,,,6,650,172.369,817,31.3,80,,,,,,,,,,,26.346845000000005
9Cr-020,85.963,0.15,9.111,0.412,0.078,0.27,1.474,1.37,0.476,0.056,0.014,0.001,0.033,,0.346,,,0.206,0.0085,0.0226,0.0028,0.0059,,1,1150,700,,,6,650,172.369,667,32.6,81.8,,,,,,,,,,,26.398795
9Cr-021,83.55,0.15,9.085,0.51,0.229,0.19,2.942,0.1,2.914,0.062,0.014,0.001,0.003,,0.01,,,0.202,0.0104,0.0193,0.0027,0.0059,,0,1150,700,,,1,650,206.843,832,14.2,62.7,,,,,,,,,,,27.202911000000004
9Cr-021,83.55,0.15,9.085,0.51,0.229,0.19,2.942,0.1,2.914,0.062,0.014,0.001,0.003,,0.01,,,0.202,0.0104,0.0193,0.0027,0.0059,,0,1150,700,,,1,650,189.606,1440,13.4,58.4,,,,,,,,,,,27.202911000000004
9Cr-021,83.55,0.15,9.085,0.51,0.229,0.19,2.942,0.1,2.914,0.062,0.014,0.001,0.003,,0.01,,,0.202,0.0104,0.0193,0.0027,0.0059,,0,1150,700,,,1,650,172.369,2275,21.4,49.1,,,,,,,,,,,27.202911000000004
9Cr-021,83.55,0.15,9.085,0.51,0.229,0.19,2.942,0.1,2.914,0.062,0.014,0.001,0.003,,0.01,,,0.202,0.0104,0.0193,0.0027,0.0059,,0,1150,700,,,1,650,155.132,4587,15.4,40.2,,,,,,,,,,,27.202911000000004
9Cr-021,83.55,0.15,9.085,0.51,0.229,0.19,2.942,0.1,2.914,0.062,0.014,0.001,0.003,,0.01,,,0.202,0.0104,0.0193,0.0027,0.0059,,0,1150,700,,,1,650,137.895,7693.8,7.4,17,,,,,,,,,,,27.202911000000004
9Cr-022,83.558,0.15,9.085,0.511,0.257,0.18,2.926,0.101,2.894,0.065,0.014,0.001,0.003,,0.003,,,0.208,0.0121,0.023,0.0021,0.0067,,1,1150,700,,,3,650,206.843,525,12.8,63.7,,,,,,,,,,,27.185584999999996
9Cr-022,83.558,0.15,9.085,0.511,0.257,0.18,2.926,0.101,2.894,0.065,0.014,0.001,0.003,,0.003,,,0.208,0.0121,0.023,0.0021,0.0067,,1,1150,700,,,3,650,189.606,1190,12.7,59,,,,,,,,,,,27.185584999999996
9Cr-022,83.558,0.15,9.085,0.511,0.257,0.18,2.926,0.101,2.894,0.065,0.014,0.001,0.003,,0.003,,,0.208,0.0121,0.023,0.0021,0.0067,,1,1150,700,,,3,650,172.369,1833,25,57.8,,,,,,,,,,,27.185584999999996
9Cr-022,83.558,0.15,9.085,0.511,0.257,0.18,2.926,0.101,2.894,0.065,0.014,0.001,0.003,,0.003,,,0.208,0.0121,0.023,0.0021,0.0067,,1,1150,700,,,3,650,155.132,3443,19.7,46.7,,,,,,,,,,,27.185584999999996
9Cr-022,83.558,0.15,9.085,0.511,0.257,0.18,2.926,0.101,2.894,0.065,0.014,0.001,0.003,,0.003,,,0.208,0.0121,0.023,0.0021,0.0067,,1,1150,700,,,3,650,137.895,8200.8,15.5,29.5,,,,,,,,,,,27.185584999999996
9Cr-023,83.209,0.15,9.08,0.512,0.24,0.18,2.928,0.1,2.897,0.063,0.016,0.001,0.032,,0.349,,,0.203,0.0101,0.0222,0.0022,0.006,,1,1150,700,,,6,650,172.369,1030,27.6,68,,,,,,,,,,,27.352875000000004
9Cr-023,83.209,0.15,9.08,0.512,0.24,0.18,2.928,0.1,2.897,0.063,0.016,0.001,0.032,,0.349,,,0.203,0.0101,0.0222,0.0022,0.006,,1,1150,700,,,6,650,155.132,1387,33,68.8,,,,,,,,,,,27.352875000000004
9Cr-023,83.209,0.15,9.08,0.512,0.24,0.18,2.928,0.1,2.897,0.063,0.016,0.001,0.032,,0.349,,,0.203,0.0101,0.0222,0.0022,0.006,,1,1150,700,,,6,650,137.895,2458,24,59.2,,,,,,,,,,,27.352875000000004
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,500,360,277,23,84,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,500,340,875.4,25,86,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,500,320,2333.4,27,86,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,500,300,4971.3,31,88,,,,,,,,,,,25.909010000000006
