ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,V,B,N,S,Homo,Normal,Temper1,AGS No.,CT_Temp,CT_CS,CT_RT,CT_EL,CT_RA,CT_MCR,CT_0.5% CS,CT_1.0% CS,CT_2.0% CS,CT_5.0% CS,CT_TTC
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,176,74273.3,20,26,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,157,123114,23,28,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,137,195221.6,16,29,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,265,153.8,34,54,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,235,738,26,43,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,216,1840.7,22,34,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,176,5906.5,23,37,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,137,15411.8,21,37,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,108,44276.6,18,32,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,88,106841.5,17,27,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,78,171094.7,16,22,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,216,58.4,38,63,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,176,356.4,22,41,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,137,1116.5,31,46,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,98,4892.7,28,41,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,78,16581.2,22,30,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,61,47219.1,27,27,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,53,90260.7,18,19,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,47,142590.9,22,16,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,137,57,49,66,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,118,115.8,49,52,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,98,383.2,45,54,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,88,924.2,38,48,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,69,4555.7,35,33,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,53,12081.4,26,23,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,37,26479,33,23,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,314,104.2,14,24,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,265,1929.1,10,18,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,216,7251.8,8,19,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,196,13099.6,8,18,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,176,15304.4,8,14,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,176,20674.2,12,17,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,176,21748.5,13,15,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,157,38751.9,10,12,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,600,137,81570.6,12,13,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,265,56.6,10,20,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,216,478.9,8,18,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,176,3019.8,15,24,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,137,18488.9,16,34,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,108,48332.8,16,28,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,650,88,183725.1,15,16,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,176,349.1,12,24,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,137,1953.6,30,43,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,98,7523.2,24,44,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,78,22841.7,14,31,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,61,85670.8,11,11,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,700,53,69162.6,7,11,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,750,137,179.5,25,48,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,750,98,903.4,32,50,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,750,69,6977.4,24,41,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,750,53,21275.8,18,26,,,,,,
AUS_003,66.4872,0.06,17.8,1.66,0.49,12.2,0.27,0.05,,0.82,0.023,0.023,0.03,0.018,0.038,0.0012,0.0236,0.006,0,,,4.7,750,37,54780.1,12,11,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,600,314,326.8,15,27,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,600,265,3287.8,20,41,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,600,216,53556.3,14,29,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,600,196,86226.9,12,24,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,600,176,89502.4,10,20,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,650,265,155.7,31,51,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,650,235,1333.2,19,36,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,650,216,3404.6,16,34,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,650,176,7269,22,38,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,650,137,20773.3,12,34,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,650,108,52128.7,23,35,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,650,88,149937.2,13,19,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,700,216,57.6,33,67,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,700,176,513.7,25,49,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,700,137,1774.4,18,40,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,700,98,7340.6,20,35,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,700,78,39318.4,7,11,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,700,61,137561,8,8,,,,,,
